# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 134.926 h/Mpc,
# number of wavenumbers equal to 255
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.261927095225e-03 
       1.131335172818e-05       7.820332150691e-03 
       1.221587619877e-05       8.421675382261e-03 
       1.319039970550e-05       9.069257737928e-03 
       1.424266598317e-05       9.766636451045e-03 
       1.537887697396e-05       1.051763973632e-02 
       1.660572938097e-05       1.132639250743e-02 
       1.793045413791e-05       1.219733201499e-02 
       1.936085902737e-05       1.313524187192e-02 
       2.090537469909e-05       1.414527084966e-02 
       2.257310435923e-05       1.523296544481e-02 
       2.437387742372e-05       1.640429654628e-02 
       2.631830745176e-05       1.766569603274e-02 
       2.841785470091e-05       1.902408711149e-02 
       3.068489367268e-05       2.048692967430e-02 
       3.313278604643e-05       2.206225467534e-02 
       3.577595943165e-05       2.375870883837e-02 
       3.862999240274e-05       2.558560669806e-02 
       4.171170631739e-05       2.755297672490e-02 
       4.503926445983e-05       2.967161933394e-02 
       4.863227909323e-05       3.195316455636e-02 
       5.251192705226e-05       3.441013466113e-02 
       5.670107455699e-05       3.705601741679e-02 
       6.122441198393e-05       3.990533412811e-02 
       6.610859938837e-05       4.297372242504e-02 
       7.138242363583e-05       4.627802054825e-02 
       7.707696806873e-05       4.983636159855e-02 
       8.322579570814e-05       5.366826786899e-02 
       8.986514707061e-05       5.779476319697e-02 
       9.703415376577e-05       6.223848221797e-02 
       1.047750691338e-04       6.702379824979e-02 
       1.131335172818e-04       7.217695031032e-02 
       1.221587619877e-04       7.772619030314e-02 
       1.319039970550e-04       8.370193379994e-02 
       1.424266598317e-04       9.013692506612e-02 
       1.537887697396e-04       9.706641130342e-02 
       1.660572938097e-04       1.045283343105e-01 
       1.793045413791e-04       1.125635329179e-01 
       1.936085902737e-04       1.212159592303e-01 
       2.090537469909e-04       1.305329107429e-01 
       2.257310435923e-04       1.405652819354e-01 
       2.437387742372e-04       1.513678275069e-01 
       2.631830745176e-04       1.629994475126e-01 
       2.841785470091e-04       1.755234890471e-01 
